prefix_len,k,wrong,right,n_candidates,recall,top1,top2,top3,rr,testset,dict_size
2,1,begining,beginning,4807,1,0,0,0,0.0,testset1,20000
3,1,begining,beginning,306,1,1,1,1,1.0,testset1,20000
4,1,begining,beginning,57,1,1,1,1,1.0,testset1,20000
5,1,begining,beginning,13,1,1,1,1,1.0,testset1,20000
6,1,begining,beginning,6,1,1,1,1,1.0,testset1,20000
7,1,begining,beginning,4,1,1,1,1,1.0,testset1,20000
2,1,problam,problem,3880,1,0,0,0,0.0,testset1,20000
3,1,problam,problem,949,1,0,0,0,0.0,testset1,20000
4,1,problam,problem,224,1,1,1,1,1.0,testset1,20000
5,1,problam,problem,18,1,1,1,1,1.0,testset1,20000
6,1,problam,problem,10,1,1,1,1,1.0,testset1,20000
7,1,problam,problem,3,1,1,1,1,1.0,testset1,20000
2,1,proble,problem,3880,1,0,0,0,0.0,testset1,20000
3,1,proble,problem,949,1,0,0,0,0.0,testset1,20000
4,1,proble,problem,224,1,1,1,1,1.0,testset1,20000
5,1,proble,problem,18,1,1,1,1,1.0,testset1,20000
6,1,proble,problem,5,1,1,1,1,1.0,testset1,20000
2,1,promblem,problem,3880,1,0,0,0,0.0,testset1,20000
3,1,promblem,problem,949,1,0,0,0,0.0,testset1,20000
4,1,promblem,problem,237,1,0,0,0,0.0,testset1,20000
5,1,promblem,problem,33,1,0,1,1,0.5,testset1,20000
6,1,promblem,problem,3,1,1,1,1,1.0,testset1,20000
7,1,promblem,problem,3,1,1,1,1,1.0,testset1,20000
2,1,proplen,problem,3880,1,0,0,0,0.0,testset1,20000
3,1,proplen,problem,949,1,0,0,0,0.0,testset1,20000
4,1,proplen,problem,243,1,0,0,0,0.0,testset1,20000
5,1,proplen,problem,36,1,0,1,1,0.5,testset1,20000
6,1,proplen,problem,14,1,0,1,1,0.5,testset1,20000
7,1,proplen,problem,0,0,0,0,0,0.0,testset1,20000
2,1,dirven,driven,3560,1,0,0,0,0.0,testset1,20000
3,1,dirven,driven,570,1,0,0,0,0.0,testset1,20000
4,1,dirven,driven,53,1,0,0,0,0.0,testset1,20000
5,1,dirven,driven,31,1,0,0,0,0.0,testset1,20000
6,1,dirven,driven,1,1,1,1,1,1.0,testset1,20000
2,1,exstacy,ecstasy,992,1,0,0,0,0.0,testset1,20000
3,1,exstacy,ecstasy,291,1,0,0,0,0.0,testset1,20000
4,1,exstacy,ecstasy,64,1,0,0,0,0.0,testset1,20000
5,1,exstacy,ecstasy,10,1,0,1,1,0.5,testset1,20000
6,1,exstacy,ecstasy,0,0,0,0,0,0.0,testset1,20000
7,1,exstacy,ecstasy,0,0,0,0,0,0.0,testset1,20000
2,1,ecstacy,ecstasy,3479,1,0,0,0,0.0,testset1,20000
3,1,ecstacy,ecstasy,127,1,0,1,1,0.5,testset1,20000
4,1,ecstacy,ecstasy,32,1,1,1,1,1.0,testset1,20000
5,1,ecstacy,ecstasy,10,1,1,1,1,1.0,testset1,20000
6,1,ecstacy,ecstasy,1,1,1,1,1,1.0,testset1,20000
7,1,ecstacy,ecstasy,1,1,1,1,1,1.0,testset1,20000
2,1,guic,juice,2232,1,0,0,0,0.0,testset1,20000
3,1,guic,juice,170,1,0,0,0,0.0,testset1,20000
4,1,guic,juice,31,1,0,0,0,0.0,testset1,20000
2,1,juce,juice,1877,1,0,0,0,0.0,testset1,20000
3,1,juce,juice,132,1,0,1,1,0.5,testset1,20000
4,1,juce,juice,8,1,1,1,1,1.0,testset1,20000
2,1,jucie,juice,1877,1,0,0,0,0.0,testset1,20000
3,1,jucie,juice,132,1,0,1,1,0.5,testset1,20000
4,1,jucie,juice,20,1,1,1,1,1.0,testset1,20000
5,1,jucie,juice,4,1,1,1,1,1.0,testset1,20000
2,1,juise,juice,1877,1,0,0,0,0.0,testset1,20000
3,1,juise,juice,139,1,1,1,1,1.0,testset1,20000
4,1,juise,juice,14,1,0,0,0,0.0,testset1,20000
5,1,juise,juice,2,1,1,1,1,1.0,testset1,20000
2,1,juse,juice,1877,1,0,0,0,0.0,testset1,20000
3,1,juse,juice,223,1,0,0,0,0.0,testset1,20000
4,1,juse,juice,33,0,0,0,0,0.0,testset1,20000
2,1,localy,locally,4024,1,0,0,0,0.0,testset1,20000
3,1,localy,locally,292,1,0,0,0,0.0,testset1,20000
4,1,localy,locally,45,1,0,0,0,0.0,testset1,20000
5,1,localy,locally,20,1,0,1,1,0.5,testset1,20000
6,1,localy,locally,9,1,1,1,1,1.0,testset1,20000
2,1,compair,compare,4510,1,0,0,0,0.0,testset1,20000
3,1,compair,compare,997,1,0,0,0,0.0,testset1,20000
4,1,compair,compare,250,1,0,0,1,0.3333333333333333,testset1,20000
5,1,compair,compare,125,1,0,1,1,0.5,testset1,20000
6,1,compair,compare,49,1,0,0,0,0.0,testset1,20000
7,1,compair,compare,9,1,0,1,1,0.5,testset1,20000
2,1,pronounciation,pronunciation,3880,1,0,0,0,0.0,testset1,20000
3,1,pronounciation,pronunciation,949,1,0,0,0,0.0,testset1,20000
4,1,pronounciation,pronunciation,271,1,0,0,1,0.3333333333333333,testset1,20000
5,1,pronounciation,pronunciation,37,1,0,0,0,0.0,testset1,20000
6,1,pronounciation,pronunciation,3,1,0,1,1,0.5,testset1,20000
7,1,pronounciation,pronunciation,3,1,0,1,1,0.5,testset1,20000
2,1,independant,independent,2065,1,0,0,0,0.0,testset1,20000
3,1,independant,independent,597,1,0,0,0,0.0,testset1,20000
4,1,independant,independent,263,1,0,1,1,0.5,testset1,20000
5,1,independant,independent,10,1,1,1,1,1.0,testset1,20000
6,1,independant,independent,6,1,1,1,1,1.0,testset1,20000
7,1,independant,independent,3,1,1,1,1,1.0,testset1,20000
2,1,independant,independent,2065,1,0,0,0,0.0,testset1,20000
3,1,independant,independent,597,1,0,0,0,0.0,testset1,20000
4,1,independant,independent,263,1,0,1,1,0.5,testset1,20000
5,1,independant,independent,10,1,1,1,1,1.0,testset1,20000
6,1,independant,independent,6,1,1,1,1,1.0,testset1,20000
7,1,independant,independent,3,1,1,1,1,1.0,testset1,20000
2,1,aranged,arranged,4577,1,0,0,0,0.0,testset1,20000
3,1,aranged,arranged,795,1,0,0,0,0.0,testset1,20000
4,1,aranged,arranged,164,1,0,0,1,0.3333333333333333,testset1,20000
5,1,aranged,arranged,14,1,0,0,1,0.3333333333333333,testset1,20000
6,1,aranged,arranged,11,1,0,0,1,0.3333333333333333,testset1,20000
7,1,aranged,arranged,2,1,1,1,1,1.0,testset1,20000
2,1,arrainged,arranged,4577,1,0,0,0,0.0,testset1,20000
3,1,arrainged,arranged,261,1,0,0,0,0.0,testset1,20000
4,1,arrainged,arranged,46,1,0,0,0,0.0,testset1,20000
5,1,arrainged,arranged,14,1,0,0,0,0.0,testset1,20000
6,1,arrainged,arranged,5,1,0,0,1,0.3333333333333333,testset1,20000
7,1,arrainged,arranged,5,1,0,0,1,0.3333333333333333,testset1,20000
2,1,poartry,poetry,4640,1,0,0,0,0.0,testset1,20000
3,1,poartry,poetry,665,1,0,0,0,0.0,testset1,20000
4,1,poartry,poetry,135,0,0,0,0,0.0,testset1,20000
5,1,poartry,poetry,50,0,0,0,0,0.0,testset1,20000
6,1,poartry,poetry,3,0,0,0,0,0.0,testset1,20000
7,1,poartry,poetry,0,0,0,0,0,0.0,testset1,20000
2,1,poertry,poetry,4640,1,0,0,0,0.0,testset1,20000
3,1,poertry,poetry,581,1,1,1,1,1.0,testset1,20000
4,1,poertry,poetry,154,1,0,0,0,0.0,testset1,20000
